Date,Time,Transaction ID,Account Number (Sender),Account Name (Sender),Account Number (Receiver),Account Name (Receiver),Category,Amount,Transaction Type,Description,Source
2024-10-04,22:36:21,T4651239,AC64416496,Tata Consultancy Services,AC23782484,Rohan,Miscellaneous,9806.06,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T8152394,AC22860073,Infosys,AC42959611,Wipro,Miscellaneous,3655.11,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T5652206,AC81313373,Larsen & Toubro,AC67636274,Rohan,Utilities,9259.35,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T5888985,AC28347428,Rajesh,AC61944074,Akash,Transport,2243.64,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T7960056,AC72048591,State Bank of India,AC83927824,Neha,Entertainment,6881.27,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T6102954,AC38221759,Meera,AC23263871,Arjun,Miscellaneous,4186.64,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T9195752,AC27420568,Adani Enterprises,AC76056371,Tata Consultancy Services,Transport,754.6,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T9882283,AC71573875,Kabir,AC88759190,Siddharth,Education,5469.55,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-05,22:36:21,T9697924,AC39119078,Bajaj Finserv,AC67623110,Tata Consultancy Services,Miscellaneous,7424.4,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-06,22:36:21,T4271152,AC46699053,Diya,AC38031392,Siddharth,Food,6498.87,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-06,22:36:21,T9170576,AC31328360,Karthik,AC97466068,Ishita,Education,6555.48,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-06,22:36:21,T3390385,AC33273949,Kabir,AC97799582,HDFC Bank,Utilities,3396.39,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-06,22:36:21,T3619294,AC24282544,Lakshmi,AC33922485,ICICI Bank,Healthcare,5696.78,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-07,22:36:21,T8772735,AC98050466,Adani Enterprises,AC32977707,Tata Consultancy Services,Shopping,8968.78,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-07,22:36:21,T2734728,AC58871548,Sneha,AC27939197,Axis Bank,Shopping,855.36,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-07,22:36:21,T4267061,AC71310508,Larsen & Toubro,AC31132702,Pooja,Shopping,3025.04,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-07,22:36:21,T7087694,AC11925520,Priya,AC83774618,Ishita,Miscellaneous,9271.0,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-07,22:36:21,T2936615,AC96956597,Priya,AC17056530,ICICI Bank,Food,4040.26,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-08,22:36:21,T2398723,AC54193778,Ananya,AC83083648,Meera,Healthcare,8888.56,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-09,22:36:21,T1156540,AC65473673,Rajesh,AC34101934,Sneha,Utilities,6916.14,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-09,22:36:21,T4828237,AC11129597,State Bank of India,AC44880719,Mahindra & Mahindra,Transport,5193.63,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-09,22:36:21,T4622135,AC12126515,Diya,AC95134012,Pooja,Shopping,1412.55,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-09,22:36:21,T3840848,AC18220691,Larsen & Toubro,AC92918584,Akash,Healthcare,5266.1,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-09,22:36:21,T9253057,AC41505182,Diya,AC82137552,Akash,Healthcare,8470.28,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-09,22:36:21,T5608348,AC45817710,Rajesh,AC18268496,Lakshmi,Healthcare,262.89,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-10,22:36:21,T2367482,AC77952514,State Bank of India,AC80499509,Lakshmi,Miscellaneous,4976.94,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-10,22:36:21,T3793939,AC33484962,Mahindra & Mahindra,AC37076978,Diya,Shopping,6660.45,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-10,22:36:21,T2803991,AC41780334,Larsen & Toubro,AC53049946,Arjun,Food,3701.24,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-10,22:36:21,T6722263,AC35642928,ICICI Bank,AC42693567,Arjun,Healthcare,4764.94,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T4744291,AC93968643,Nikhil,AC74997418,Neha,Food,4292.74,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T1225994,AC10493211,HDFC Bank,AC31829186,Karthik,Education,2085.63,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T1948905,AC87661856,Rajesh,AC39271061,Reliance Industries,Entertainment,702.39,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T2679885,AC71614731,Ishita,AC87455036,Akash,Shopping,1928.28,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T1576308,AC95986824,Infosys,AC18984820,ICICI Bank,Entertainment,7471.25,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T5565167,AC21260594,Ananya,AC84177073,Sneha,Miscellaneous,4910.36,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T1715167,AC19175356,Reliance Industries,AC98400307,Mahindra & Mahindra,Healthcare,9489.73,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-11,22:36:21,T3013791,AC97205543,State Bank of India,AC35234669,Rajesh,Entertainment,318.78,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-12,22:36:21,T1036511,AC59400193,State Bank of India,AC25956489,Aarav,Transport,8820.72,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-12,22:36:21,T4889626,AC88259996,Lakshmi,AC87205654,ICICI Bank,Education,4996.4,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-12,22:36:21,T4467920,AC92173513,Wipro,AC19569511,State Bank of India,Healthcare,7047.1,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-12,22:36:21,T4486112,AC44336050,Rohan,AC99663416,HDFC Bank,Shopping,7451.05,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-12,22:36:21,T7334625,AC99993893,Pooja,AC93976890,Axis Bank,Healthcare,9444.92,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-12,22:36:21,T9056735,AC13526906,ICICI Bank,AC97157406,Larsen & Toubro,Education,6499.25,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-13,22:36:21,T2636811,AC61812951,Siddharth,AC12342892,Diya,Healthcare,2321.84,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-13,22:36:21,T3342516,AC38042207,Hindustan Unilever,AC39198202,Neha,Food,6188.14,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T5420539,AC44137707,State Bank of India,AC42816862,Pooja,Utilities,4641.04,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T7399152,AC57027649,Priya,AC44503715,Kabir,Shopping,9816.23,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T7876441,AC14389493,Hindustan Unilever,AC47251129,Vikram,Utilities,4186.36,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T8958345,AC34690116,Larsen & Toubro,AC57203568,Lakshmi,Healthcare,5508.44,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T1397574,AC17317524,Reliance Industries,AC33604200,Bajaj Finserv,Education,8105.01,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T5748457,AC61095863,Hindustan Unilever,AC36347734,Adani Enterprises,Utilities,452.32,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T2272183,AC92790108,Kabir,AC51520685,Karthik,Transport,1166.25,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T1159418,AC72354054,Aarav,AC47485279,Meera,Utilities,5015.46,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-14,22:36:21,T1437849,AC27587714,State Bank of India,AC15138678,Neha,Education,4186.14,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-15,22:36:21,T2404609,AC14508533,Ananya,AC27704331,Sneha,Entertainment,9839.8,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-15,22:36:21,T9572119,AC32776446,HDFC Bank,AC37950908,Karthik,Food,172.94,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-15,22:36:21,T9893289,AC43548980,ICICI Bank,AC88996715,Bajaj Finserv,Healthcare,6017.8,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-15,22:36:21,T3391484,AC21674161,State Bank of India,AC79898768,Axis Bank,Utilities,7056.76,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-15,22:36:21,T2758819,AC83692369,Siddharth,AC28121450,Mahindra & Mahindra,Miscellaneous,7628.22,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-15,22:36:21,T3545091,AC38351047,Infosys,AC65359219,Priya,Utilities,4426.6,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-15,22:36:21,T5758538,AC84546243,Larsen & Toubro,AC10295901,Pooja,Food,9269.49,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-16,22:36:21,T7600503,AC98655632,State Bank of India,AC41156994,Bharti Airtel,Shopping,9137.17,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-16,22:36:21,T6013308,AC67455315,Karthik,AC73536922,Sneha,Food,4910.47,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-16,22:36:21,T5272342,AC65004746,Rohan,AC76243037,Diya,Education,5364.61,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-16,22:36:21,T8395832,AC35278106,Akash,AC16713210,Sneha,Transport,4350.31,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-17,22:36:21,T3600240,AC52766025,Reliance Industries,AC63828198,Siddharth,Healthcare,3410.86,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-17,22:36:21,T6689020,AC35470821,Akash,AC85075016,Aditi,Utilities,4083.9,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-17,22:36:21,T7177377,AC54676434,Neha,AC32746694,Priya,Shopping,9231.61,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-17,22:36:21,T9269491,AC62439743,Axis Bank,AC68721165,Rajesh,Healthcare,7755.47,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-17,22:36:21,T4603517,AC65131016,Aarav,AC86766693,Aditi,Transport,1553.39,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-17,22:36:21,T8134753,AC59354782,Priya,AC34836925,Ananya,Shopping,6572.15,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T5787911,AC11832408,Kabir,AC88015313,Sneha,Utilities,2451.66,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T5269453,AC93161721,State Bank of India,AC88364021,Rajesh,Food,6375.99,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T7625214,AC45476821,Akash,AC96284525,HDFC Bank,Food,3231.47,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T3864861,AC15242305,Lakshmi,AC69457087,Pooja,Education,1720.66,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T7756708,AC51260065,Adani Enterprises,AC84828268,Larsen & Toubro,Utilities,3853.82,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T9993447,AC10589746,Nikhil,AC71139597,ICICI Bank,Shopping,6976.13,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T9004476,AC77630403,State Bank of India,AC35897905,Priya,Food,2382.37,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T6146275,AC32898486,Ananya,AC69171807,Nikhil,Healthcare,8522.03,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T2893747,AC49820088,Siddharth,AC83718857,Infosys,Education,5703.99,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-18,22:36:21,T6731425,AC60491098,Meera,AC21778155,Mahindra & Mahindra,Healthcare,6646.48,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T7981202,AC76661152,Priya,AC41378212,Siddharth,Utilities,5538.88,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T1152019,AC38656450,Siddharth,AC70880021,Neha,Utilities,1478.1,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T6484281,AC77352964,Aditi,AC48532012,Tata Consultancy Services,Utilities,7489.05,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T2260065,AC40085917,Tata Consultancy Services,AC26861559,Aarav,Transport,1510.14,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T8139662,AC59091420,Hindustan Unilever,AC74223270,Aarav,Entertainment,7132.19,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T9351405,AC29049523,Meera,AC50746009,Reliance Industries,Transport,1749.37,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T9360266,AC85767435,Siddharth,AC53782446,Bajaj Finserv,Education,9735.01,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-19,22:36:21,T9863319,AC89931545,Diya,AC50623047,Neha,Utilities,2732.03,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-20,22:36:21,T7712814,AC90072622,Adani Enterprises,AC29078840,Nikhil,Transport,8404.92,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-20,22:36:21,T9015904,AC78123409,Axis Bank,AC62684917,Siddharth,Entertainment,4428.27,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-20,22:36:21,T3706631,AC99832187,State Bank of India,AC23533018,Pooja,Miscellaneous,4099.74,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-20,22:36:21,T2697972,AC81448807,Reliance Industries,AC79633000,Arjun,Miscellaneous,5455.9,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-20,22:36:21,T9409928,AC43901917,Ishita,AC52351841,Siddharth,Education,9230.0,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-20,22:36:21,T4884938,AC45934706,Vikram,AC88118119,Nikhil,Food,1952.37,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-20,22:36:21,T6519230,AC80020679,Siddharth,AC31683766,Aarav,Shopping,5301.92,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T8991614,AC37544048,State Bank of India,AC17476388,Infosys,Shopping,3059.87,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T5790767,AC83194005,State Bank of India,AC27440360,Rajesh,Shopping,7637.11,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T3150374,AC43363449,Mahindra & Mahindra,AC44923462,Pooja,Food,7995.26,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T1648189,AC96289894,ICICI Bank,AC69643952,Ishita,Shopping,6748.06,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T2378697,AC20234837,Wipro,AC97913123,Nikhil,Transport,4024.88,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T4109501,AC43774858,Mahindra & Mahindra,AC83117634,Akash,Shopping,7502.01,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T6442266,AC41614667,Axis Bank,AC20874044,Bharti Airtel,Transport,4469.84,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T8482490,AC22633701,Vikram,AC51996787,Hindustan Unilever,Entertainment,1690.82,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T6606684,AC21983211,Reliance Industries,AC55184183,Neha,Utilities,2414.18,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-21,22:36:21,T7776822,AC13447459,Lakshmi,AC59515378,Arjun,Miscellaneous,8728.87,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T3933918,AC64692607,Arjun,AC22137082,Adani Enterprises,Healthcare,9961.69,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T8516827,AC55098726,Aditi,AC77715003,Tata Consultancy Services,Food,2059.03,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T7996520,AC20599642,Wipro,AC82247230,Lakshmi,Transport,597.55,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T5222595,AC80706856,Aditi,AC20780920,State Bank of India,Shopping,703.87,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T9011134,AC63451577,Hindustan Unilever,AC90376598,Maruti Suzuki,Healthcare,4274.55,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T1325747,AC65782224,Kabir,AC54044074,Rajesh,Entertainment,8905.63,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T3887138,AC71194558,Bajaj Finserv,AC93381049,Larsen & Toubro,Education,3116.79,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T8918124,AC48771823,Reliance Industries,AC23750017,Aarav,Shopping,1751.0,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T4403628,AC64103188,Maruti Suzuki,AC84944570,Adani Enterprises,Transport,3635.63,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-22,22:36:21,T1252932,AC33677470,ICICI Bank,AC70073380,Sneha,Education,3333.47,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-23,22:36:21,T7486950,AC49193601,Diya,AC99250271,Aditi,Entertainment,3941.32,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-23,22:36:21,T7872544,AC47072389,Mahindra & Mahindra,AC76133495,Priya,Food,1555.6,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-23,22:36:21,T3540576,AC72377355,State Bank of India,AC20915860,Mahindra & Mahindra,Shopping,8438.86,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-23,22:36:21,T5890827,AC83327411,Rohan,AC88870660,Adani Enterprises,Healthcare,8617.26,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-23,22:36:21,T9691004,AC74008006,Axis Bank,AC37658536,Akash,Food,1865.44,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-23,22:36:21,T4821446,AC94080341,Wipro,AC54098536,Neha,Miscellaneous,8363.84,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-23,22:36:21,T3083850,AC32928792,Ishita,AC79381180,Rohan,Entertainment,502.63,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-24,22:36:21,T2147441,AC34872432,Kabir,AC22231054,Ishita,Food,500.77,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-24,22:36:21,T9680294,AC75331558,Siddharth,AC43272341,Diya,Shopping,7430.45,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-24,22:36:21,T8131816,AC35144221,Infosys,AC15302035,Aarav,Utilities,6089.12,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-24,22:36:21,T2343630,AC69678032,Arjun,AC32821006,HDFC Bank,Education,4350.24,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-24,22:36:21,T2402197,AC69196818,Akash,AC41278299,Nikhil,Food,619.45,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-24,22:36:21,T7264894,AC91610401,Tata Consultancy Services,AC62013504,Mahindra & Mahindra,Miscellaneous,2383.85,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-24,22:36:21,T2869311,AC49351309,Reliance Industries,AC37141009,Mahindra & Mahindra,Transport,8054.41,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T2299360,AC38212978,Wipro,AC35292024,Reliance Industries,Shopping,9512.05,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T7962388,AC16016100,Neha,AC28908578,Lakshmi,Transport,8115.13,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T9849683,AC98063648,HDFC Bank,AC88605383,Pooja,Entertainment,710.46,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T5754254,AC19684194,Vikram,AC33617401,Adani Enterprises,Food,3913.01,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T4053166,AC53105525,Aditi,AC29169535,Mahindra & Mahindra,Transport,6440.45,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T1009151,AC24150398,Akash,AC67767483,Meera,Healthcare,2464.43,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T4104201,AC58849537,Bajaj Finserv,AC66145936,Kabir,Education,4859.28,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T1766572,AC35848922,Ishita,AC21928116,Siddharth,Entertainment,7415.21,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-25,22:36:21,T9073306,AC31417968,Karthik,AC73333400,Aditi,Entertainment,3007.42,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-26,22:36:21,T7028028,AC19890089,Rajesh,AC87967431,Reliance Industries,Utilities,2878.77,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-26,22:36:21,T8362152,AC10328327,Neha,AC76612100,Maruti Suzuki,Miscellaneous,3578.01,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-26,22:36:21,T5351244,AC81519844,Wipro,AC12266551,Siddharth,Miscellaneous,7905.78,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-26,22:36:21,T4031410,AC98645894,Ishita,AC97665739,Kabir,Miscellaneous,3762.43,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-26,22:36:21,T9167838,AC89024139,Lakshmi,AC31373711,Ananya,Entertainment,8791.8,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-27,22:36:21,T5876949,AC38465174,Akash,AC52904897,Tata Consultancy Services,Transport,3227.48,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-27,22:36:21,T4073875,AC10488209,Sneha,AC75890478,Vikram,Transport,8141.68,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-27,22:36:21,T4243820,AC36122549,Hindustan Unilever,AC49274688,Maruti Suzuki,Miscellaneous,7910.15,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-27,22:36:21,T1217977,AC89746810,Adani Enterprises,AC45915283,Adani Enterprises,Transport,2995.08,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-27,22:36:21,T9657309,AC45614439,Neha,AC75846910,Reliance Industries,Miscellaneous,9685.78,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-28,22:36:21,T1132028,AC66745969,Rajesh,AC41430760,Tata Consultancy Services,Education,1959.07,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-28,22:36:21,T7062571,AC65767589,Adani Enterprises,AC62395514,Diya,Entertainment,8604.93,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-29,22:36:21,T6855572,AC27739392,Ananya,AC17969950,Meera,Miscellaneous,3310.29,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-29,22:36:21,T2253788,AC79660929,Siddharth,AC54321867,Tata Consultancy Services,Transport,1689.2,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-30,22:36:21,T2337913,AC62740846,Larsen & Toubro,AC30903606,Maruti Suzuki,Education,6844.22,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-30,22:36:21,T2609765,AC75697987,Reliance Industries,AC27615844,Mahindra & Mahindra,Shopping,9705.37,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-31,22:36:21,T4311539,AC74557060,Nikhil,AC83850286,Hindustan Unilever,Utilities,9710.57,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-31,22:36:21,T5911960,AC34216951,ICICI Bank,AC66038639,Maruti Suzuki,Food,4878.16,Debit,Auto-generated transaction details,banking_transactions.csv
2024-11-01,22:36:21,T7183165,AC29182494,Maruti Suzuki,AC39520619,Siddharth,Food,4213.74,Debit,Auto-generated transaction details,banking_transactions.csv
2024-11-01,22:36:21,T2742617,AC61076910,Axis Bank,AC36378219,Meera,Food,8699.61,Credit,Auto-generated transaction details,banking_transactions.csv
2024-11-01,22:36:21,T5519725,AC11429643,Arjun,AC60189961,Karthik,Miscellaneous,3842.87,Credit,Auto-generated transaction details,banking_transactions.csv
2024-11-01,22:36:21,T1969324,AC81666022,Pooja,AC71915134,Vikram,Food,8404.87,Debit,Auto-generated transaction details,banking_transactions.csv
2024-11-01,22:36:21,T4247079,AC31191549,Nikhil,AC90846273,Pooja,Utilities,8060.9,Debit,Auto-generated transaction details,banking_transactions.csv
2024-11-01,22:36:21,T8716846,AC17613757,Pooja,AC56696161,Bharti Airtel,Miscellaneous,3984.98,Credit,Auto-generated transaction details,banking_transactions.csv
2024-11-02,22:36:21,T2614796,AC19070894,Ishita,AC45896008,Larsen & Toubro,Healthcare,7029.62,Credit,Auto-generated transaction details,banking_transactions.csv
